,host_id,host_acceptance_rate,host_response_rate,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,review_scores_rating,reviews_per_month,superhost_flag,host_identity_verified_flag
0,320564,29%,88%,35.6067,-82.55563,Entire apartment,Entire home/apt,2,1,1.0,1.0,82.00,90.0,0.76,0,1
1,746673,100%,100%,35.57864,-82.59578,Entire guesthouse,Entire home/apt,2,1,1.0,1.0,90.00,91.0,2.53,1,1
2,746673,100%,100%,35.57864,-82.59578,Private room in house,Private room,2,2.5,1.0,1.0,66.00,90.0,0.57,1,1
3,746673,100%,100%,35.57864,-82.59578,Shared room in hostel,Shared room,1,2.5,1.0,6.0,33.00,94.0,2.4,1,1
5,1029919,43%,100%,35.61856,-82.55276,Entire guest suite,Entire home/apt,4,1,1.0,2.0,134.00,97.0,0.49,0,1
6,1098412,0%,100%,35.58345,-82.59713,Private room in bungalow,Private room,1,1,1.0,1.0,48.00,97.0,1.27,1,1
7,1292070,80%,100%,35.59635,-82.50655,Private room in cabin,Private room,2,1,1.0,1.0,68.00,93.0,0.5,0,0
8,1362726,96%,100%,35.61929,-82.48114,Entire apartment,Entire home/apt,2,1,1.0,1.0,76.00,99.0,4.89,1,1
9,1501882,50%,100%,35.55537,-82.53539,Entire apartment,Entire home/apt,2,1,1.0,0.0,50.00,93.0,0.28,0,1
10,1566145,0%,100%,35.64453,-82.52586,Entire guesthouse,Entire home/apt,4,1,2.0,2.0,289.00,98.0,0.22,1,0
11,1909922,100%,100%,35.49111,-82.48438,Entire guest suite,Entire home/apt,2,1,1.0,1.0,125.00,100.0,0.43,0,0
12,1931430,100%,100%,35.57771,-82.56094,Private room in house,Private room,2,1.5,1.0,1.0,124.00,94.0,0.88,1,0
13,478398,100%,100%,35.60182,-82.56174,Entire guest suite,Entire home/apt,2,1.5,1.0,1.0,109.00,98.0,2.88,1,1
14,467421,100%,100%,35.56118,-82.57784,Entire cottage,Entire home/apt,3,1,1.0,1.0,132.00,100.0,6.47,1,1
15,12874214,99%,100%,35.60371,-82.55621,Private room in house,Private room,2,1,,1.0,91.00,98.0,3.31,1,1
16,2164379,29%,100%,35.61115,-82.54376,Entire apartment,Entire home/apt,2,1,1.0,1.0,50.00,95.0,1.21,1,1
17,3079174,100%,100%,35.60418,-82.54964,Entire apartment,Entire home/apt,2,1,1.0,2.0,149.00,97.0,2.15,1,1
18,2799158,75%,100%,35.58323,-82.59206,Entire house,Entire home/apt,4,1,2.0,2.0,125.00,91.0,0.09,0,1
19,3335271,100%,100%,35.62166,-82.55373,Entire house,Entire home/apt,4,1,1.0,1.0,89.00,94.0,8.03,1,1
20,614610,96%,100%,35.62272,-82.50285,Private room in house,Private room,2,1,1.0,1.0,42.00,92.0,1.97,1,1
21,3552264,100%,100%,35.58131,-82.55741,Private room in house,Private room,2,1,1.0,1.0,50.00,93.0,9.67,1,1
22,3736218,94%,100%,35.57468,-82.55705,Private room in bed and breakfast,Private room,2,1,1.0,2.0,189.00,93.0,0.11,1,1
